name	smarts	keep_atoms	add_atoms	protected_smiles	cleaved_smiles	decoys	policy	decoy_scope
amine_ivdde_imine	[N;D2;+0:1]=;!@[C;y1;D3;+0]([C;D2;y0;z1;+0][C;D3;y0;z1;+0]([C;D1;+0])[C;D1;+0])-[C;D3;r6;y0;z1;+0]1[C;y1;z2;D3;+0](=[O;+0])[C;D2;+0][C;D4;y0;z1;+0]([C;D1;+0])([C;D1;+0])[C;D2;+0][C;D3;y1;z2;+0]1=[O;+0]	[1]	[]	CC(C)CC(=NC(C)C)C1C(=O)CC(C)(C)CC1=O	CC(C)N	[]	conservative	per_rule
amine_benzyl	[N;D2,D3;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)NCc1ccccc1	CC(C)N	[]	aggressive	per_rule
amine_methoxy_benzyl	[N;D2,D3;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)NCc1ccc(OC)cc1	CC(C)N	[]	aggressive	per_rule
amine_dimethoxybenzyl	[N;D2,D3;+0:1]-;!@[C;D2;z1;y1;+0]-[C;a;r6;+0]:1:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)NCc1c(OC)cc(OC)cc1	CC(C)N	[]	aggressive	per_rule
amine_mtt	[N;D2,D3;+0:1]-;!@[C;D4;z1;y1;+0](-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D3;y0;+0]([C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1)(-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)NC(c1ccccc1)(c1ccccc1)c1ccc(C)cc1	CC(C)N	[]	conservative	per_rule
amine_bhoc	[N;D2,D3;+0:1]-;!@[C;z2;y3;+0](=[O;+0])[O;D2;y0;+0]-[C;D3;z1;y1;+0](-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CNC(=O)OC(c1ccccc1)c1ccccc1	CN	[]	conservative	per_rule
amine_tritil	[N;D2,D3;+0:1]-;!@[C;D4;z1;y1;+0](-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)(-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)NC(c1ccccc1)(c1ccccc1)c1ccccc1	CC(C)N	[]	conservative	per_rule
amine_chloro_tritil	[N;D2,D3;+0:1]-;!@[C;D4;z1;y1;+0](-[C;a;r6;+0]:1:[C;D3;y1;+0]([Cl;D1;+0]):[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)(-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)NC(c1c(Cl)cccc1)(c1ccccc1)c1ccccc1	CC(C)N	[]	conservative	per_rule
thiol_tritil	[S;D2;y0;z1;+0:1]-;!@[C;D4;z1;y1;+0](-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)(-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	CC(C)SC(c1ccccc1)(c1ccccc1)c1ccccc1	CC(C)S	[]	conservative	per_rule
thiol_mmt	[S;D2;y0;z1;+0:1]-;!@[C;D4;z1;y1;+0](-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D3;y1;+0]([O;D2;y0;+0][C;D1;+0]):[C;D2;+0]:[C;D2;+0]:1)(-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1)-[C;a;r6;+0]:1:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:[C;D2;+0]:1	[1]	[]	c1ccc(cc1)C(SC(C)C)(c1ccccc1)c1ccc(OC)cc1	CC(C)S	[]	conservative	per_rule
